Instance,Publication,Group,Date,Average_0Scale,Average_0Scale_Corrected
I0769.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,420-570 calCE (1560±30 BP; Beta-397731),495,495
I0773.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,385-535 calCE (1620±30 BP; Beta-397732),460,460
I0774.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,395-540 calCE (1600±30 BP; Beta-397733),467,468
I0777.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,400-545 calCE (1590±30 BP; Beta-397734),472,472
I0789.SG,SchiffelsNatureCommunications2016,England_IA.SG,360-50 calBCE (2155±35 BP; SUERC-14246),-205,-205
MA1.SG,RaghavanNature2013,Russia_MA1_HG.SG,22570-22140 calBCE (20240±60 BP; UCIAMS-79666),-22355,-22355
AfontovaGora2.SG,RaghavanNature2013,Russia_AfontovaGora2.SG,14980-14540 calBCE (13810±35 BP; UCIAMS-79661),-14760,-14760
Inuk.SG,RasmussenNature2010,Greenland_Saqqaq.SG,2220-1650 calBCE (4044±31 BP; OxA-20656; corrected for marine reservoir effect as in RasmussenNature2010),-1935,-1935
LateDorset-XIV-H_126.SG,RaghavanScience2014,LateDorset.SG,800-1500 CE,1150,1150
MARC1491.SG,RaghavanScience2014,MDorset.SG,0-800 CE,400,400
MARC481.SG,RaghavanScience2014,MDorset.SG,0-800 CE,400,400
XIV_C_748.SG,RaghavanScience2014,Thule.SG,1100-1600 CE,1350,1350
Kostenki14.SG,Seguin-OrlandoScience2014,Russia_Kostenki14.SG,36730-34310 calBCE (33250±500 BP; OxA-X-2395-15),-35520,-35520
BR1.SG,GambaNatureCommunications2014,Hungary_Mako_EBA_published.SG,2190-1980 calBCE (3686±28 BP;OxA-23799),-2085,-2085
BR2.SG,GambaNatureCommunications2014,Hungary_LBA.SG,1270-1110 calBCE (2769±24 BP; OxA-27859),-1190,-1190
CO1.SG,GambaNatureCommunications2014,Hungary_Baden_LCA.SG,2900-2700 calBCE (4421±27 BP; MAMS-14825),-2800,-2800
IR1.SG,GambaNatureCommunications2014,Hungary_Prescythian_IA.SG,980-830 calBCE (2763±26 BP; OxA-27860),-905,-905
KO1_published.SG,GambaNatureCommunications2014,Hungary_EN_HG_Koros_published.SG,5780-5640 calBCE (6835±34 BP; OxA-23757),-5710,-5710
KO2.SG,GambaNatureCommunications2014,Hungary_Koros_EN.SG,5710-5570 calBCE (6726±35 BP; OxA-28101),-5640,-5640
NE1.SG,GambaNatureCommunications2014,Hungary_LBK_MN.SG,5306-5071 calBCE (6237±32 BP; OxA-27861),-5189,-5188
NE2.SG,GambaNatureCommunications2014,Hungary_ALPc_MN_published.SG,5291-5056 calBCE (6207±30 BP; OxA-27858),-5174,-5174
NE3.SG,GambaNatureCommunications2014,Hungary_ALPc_Bukk_MN.SG,5210-5010 calBCE (6185±34 BP; OxA-27732),-5110,-5110
NE4.SG,GambaNatureCommunications2014,Hungary_ALPc_MN.SG,5211-5011 calBCE (6153±33 BP; OxA-28020),-5111,-5111
NE5.SG,GambaNatureCommunications2014,Hungary_ALPc_MN.SG,5210-4990 calBCE (6164±64 BP;OxA-23763),-5100,-5100
NE7.SG,GambaNatureCommunications2014,Hungary_LN_Lengyel_dup.I1495.SG,4491-4357 calBCE (5598±32 BP; MAMS-14819),-4424,-4424
Botocudo15.SG,MalaspinasCurrentBiology2014,Brazil_Botocudo.SG,1400-1900 CE,1650,1650
Botocudo17.SG,MalaspinasCurrentBiology2014,Brazil_Botocudo.SG,1400-1900 CE,1650,1650
StoraForvar11.SG,SkoglundScience2014,Sweden_HG.SG,5500-5250 calBCE (6459±70 BP; Ua-45742),-5375,-5375
Ajvide52.SG,SkoglundScience2014,Sweden_PWC_NHG.SG,2900-2600 BCE,-2750,-2750
Ajvide53.SG,SkoglundScience2014,Sweden_PWC_NHG.SG,2900-2600 BCE,-2750,-2750
Ajvide58.SG,SkoglundScience2014,Sweden_PWC_NHG.SG,2900-2600 BCE,-2750,-2750
Ajvide59.SG,SkoglundScience2014,Sweden_PWC_NHG.SG_lc,2900-2600 BCE,-2750,-2750
Ajvide70.SG,SkoglundScience2014,Sweden_PWC_NHG.SG,2900-2600 BCE,-2750,-2750
Gokhem2.SG,SkoglundScience2014,Sweden_TRB_MN.SG,3050-2750 calBCE (4368±27 BP; UBA-14087),-2900,-2900
Gokhem4.SG,SkoglundScience2014,Sweden_TRB_MN.SG,3050-2750 calBCE (4341±44 BP; AA-R-10235),-2900,-2900
Gokhem5.SG,SkoglundScience2014,Sweden_TRB_MN.SG,3280-2890 calBCE (4440±30 BP; Beta-368294),-3085,-3085
Gokhem7.SG,SkoglundScience2014,Sweden_TRB_MN.SG_lc,3050-2750 calBCE (4232±48 BP; AA-R-10236),-2900,-2900
Ire8.SG,SkoglundScience2014,Sweden_PWC_NHG.SG,3100-2150 BCE,-2625,-2625
Iceman.SG,KellerNatureCommunications2012,Italy_North_MN_Iceman_contam.SG,3484-3104 calBCE (4555±34 BP; ETH-8345.1-2),-3294,-3294
LaBrana1_published.SG,OlaldeNature2014,Iberia_HG_published.SG,5983-5747 calBCE (6980±50 BP; Beta-226472),-5865,-5865
I0061.SG,FuNature2016,Russia_HG_Karelia.SG,6773-5886 BCE [other dates in the layer used in the Bayesian modeling analysis we used to obtain this range are (7280±80 BP; OxA-1665); 6410-6050 calBCE (7350±90 BP; OxA-2266); 6390-6030 calBCE (7330±90 BP; OxA-1667); 6590-6240 calBCE (7560±90 BP; OxA-1668); 6590-6240 calBCE (7560±90 BP; OxA-1669); 6360-6000 calBCE (7280±90 BP; OxA-2124); 6530-6210 calBCE (7510±90 BP; OxA-2125); 6850-6410 calBCE (7750±110 BP; OxA-1973); layer date],-6330,-6330
RISE1.SG,AllentoftNature2015,Poland_CordedWare.SG,2865-2578 calBCE (4117±28 BP; UBA-16633),-2722,-2722
RISE21.SG,AllentoftNature2015,Denmark_BA.SG,1426-1281 calBCE (3092±29 BP; OxA-28047),-1354,-1354
RISE42.SG,AllentoftNature2015,Denmark_LN.SG,2191-1972 calBCE (3681±28 BP; OxA-28225),-2082,-2082
RISE47.SG,AllentoftNature2015,Denmark_BA.SG,1499-1324 calBCE (3153±26 BP; OxA-28258),-1412,-1412
RISE61.SG,AllentoftNature2015,Denmark_MN_B.SG,2851-2492 calBCE (4071±27 BP; OxA-28296),-2672,-2672
RISE71.SG,AllentoftNature2015,Denmark_LN.SG,2196-2023 calBCE (3701±26 BP; OxA-28269),-2110,-2110
RISE94.SG,AllentoftNature2015,Sweden_BattleAxe.SG,2621-2472 calBCE (4025±30 BP; OxA-29033),-2547,-2546
RISE97.SG,AllentoftNature2015,Sweden_LN.SG,2025-1885 calBCE (3590±29 BP; OxA-28986),-1955,-1955
RISE98.SG,AllentoftNature2015,Sweden_LN.SG,2275-2032 calBCE (3736±32 BP; OxA-28987),-2154,-2154
RISE109.SG,AllentoftNature2015,Poland_Unetice_EBA.SG,1954-1772 calBCE (3544±26 BP; UB-16557),-1863,-1863
RISE139.SG,AllentoftNature2015,Poland_Unetice_EBA.SG,2135-1923 calBCE (3645±33 BP; Ua-44034),-2029,-2029
RISE145.SG,AllentoftNature2015,Poland_Unetice_EBA.SG,2188-1958 calBCE (3677±31 BP; UB-16564),-2073,-2073
RISE150.SG,AllentoftNature2015,Poland_Unetice_EBA.SG,1885-1693 calBCE (3469±31 BP; Ua-42401),-1789,-1789
RISE154.SG,AllentoftNature2015,Poland_Unetice_EBA.SG,1925-1765 calBCE (3522±24 BP; Uba-16555),-1845,-1845
RISE174.SG,AllentoftNature2015,Sweden_IA.SG,427-611 calCE (1521±38 BP; UBA-28275),519,519
RISE175.SG,AllentoftNature2015,Sweden_BA.SG,1395-1132 calBCE (3025±30 BP; OxA-28998),-1264,-1264
RISE179.SG,AllentoftNature2015,Sweden_LN.SG,2010-1776 calBCE (3556±28 BP; OxA-29193),-1893,-1893
RISE207.SG,AllentoftNature2015,Sweden_BA.SG,1493-1302 calBCE (3130±27 BP; OxA-29651),-1398,-1398
